X Y Z R G B Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Nx Ny Nz
260742.29000092 2147534.61999893 830.54998779 1 1 0 7.000000 215370688.000000 -35.000000 19747.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260739.86999893 2147544.47999954 828.85998535 1 1 0 7.000000 215370688.000000 -35.000000 18874.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260723.81999969 2147577.65000153 817.57000732 1 1 0 7.000000 215370688.000000 -33.000000 20119.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260748.43000031 2147526.57999992 827.29998779 1 1 0 7.000000 215370688.000000 -36.000000 20272.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260742.25999832 2147541.38000107 832.09997559 1 1 0 7.000000 215370688.000000 -35.000000 17891.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260746.00000000 2147541.18999863 835.50000000 1 1 0 7.000000 215370688.000000 -35.000000 18939.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260741.00999832 2147549.77000046 832.91998291 1 1 0 7.000000 215370688.000000 -35.000000 19485.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260745.22999954 2147539.63999939 833.77001953 1 1 0 7.000000 215370688.000000 -35.000000 21451.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.87000275 2147572.56999969 821.36999512 1 1 0 7.000000 215370688.000000 -33.000000 23155.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260733.13999939 2147569.48999786 820.10998535 1 1 0 7.000000 215370688.000000 -33.000000 20272.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260742.11999893 2147546.68999863 825.44000244 1 1 0 7.000000 215370688.000000 -35.000000 18568.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260738.43000031 2147567.31999969 828.08001709 1 1 0 7.000000 215370688.000000 -34.000000 19769.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260746.11000061 2147544.83000183 833.55999756 1 1 0 7.000000 215370688.000000 -35.000000 19638.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260748.38999939 2147539.70999908 837.34002686 1 1 0 7.000000 215370688.000000 -35.000000 19245.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260746.70999908 2147543.25999832 836.52001953 1 1 0 7.000000 215370688.000000 -35.000000 19747.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260755.97000122 2147535.97000122 834.94000244 1 1 0 7.000000 215370688.000000 -36.000000 21757.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260737.15000153 2147573.51999664 828.28997803 1 1 0 7.000000 215370688.000000 -33.000000 19398.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260751.70999908 2147539.15000153 836.19000244 1 1 0 7.000000 215370688.000000 -36.000000 20381.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260755.09999847 2147543.56000137 841.41998291 1 1 0 7.000000 215370688.000000 -36.000000 18808.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.56999969 2147608.45999908 851.28997803 1 1 0 7.000000 215370688.000000 -32.000000 21211.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.36000061 2147599.04000092 840.96002197 1 1 0 7.000000 215370688.000000 -33.000000 19354.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260755.61999893 2147577.68000031 846.28002930 1 1 0 7.000000 215370688.000000 -34.000000 18655.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260756.65999985 2147576.27999878 865.32000732 1 1 0 7.000000 215370688.000000 -35.000000 22806.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260758.13000107 2147538.02999878 841.08001709 1 1 0 7.000000 215370688.000000 -36.000000 21888.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260776.31999969 2147498.75000000 830.98999023 1 1 0 7.000000 215370688.000000 -38.000000 19092.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260757.06000137 2147541.54999924 840.07000732 1 1 0 7.000000 215370688.000000 -36.000000 19289.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260762.72999954 2147560.86000061 867.60998535 1 1 0 7.000000 215370688.000000 -36.000000 19573.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260764.95999908 2147549.75999832 859.44000244 1 1 0 7.000000 215370688.000000 -36.000000 20250.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260758.00999832 2147567.76999664 870.65997314 1 1 0 7.000000 215370688.000000 -36.000000 18764.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260761.34999847 2147570.45999908 870.53002930 1 1 0 7.000000 215370688.000000 -36.000000 18065.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260764.52000046 2147564.87000275 872.88000488 1 1 0 7.000000 215370688.000000 -36.000000 19616.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260760.08000183 2147568.56999969 870.90002441 1 1 0 7.000000 215370688.000000 -36.000000 18393.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260767.91999817 2147549.63999939 860.11999512 1 1 0 7.000000 215370688.000000 -36.000000 22325.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260763.40000153 2147583.55999756 920.80999756 1 1 0 7.000000 215370688.000000 -37.000000 17497.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260765.36000061 2147578.87000275 918.88000488 1 1 0 7.000000 215370688.000000 -37.000000 16755.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260771.70000076 2147563.00000000 871.26000977 1 1 0 7.000000 215370688.000000 -36.000000 18240.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260762.25000000 2147577.80000305 870.60998535 1 1 0 7.000000 215370688.000000 -35.000000 18087.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260765.41999817 2147567.30999756 870.69000244 1 1 0 7.000000 215370688.000000 -36.000000 19791.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260764.18000031 2147566.33000183 867.82000732 1 1 0 7.000000 215370688.000000 -36.000000 18917.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260765.29000092 2147590.20999908 912.96002197 1 1 0 7.000000 215370688.000000 -36.000000 19245.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260768.79000092 2147582.33000183 919.08001709 1 1 0 7.000000 215370688.000000 -37.000000 17956.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260763.70999908 2147587.98000336 914.53997803 1 1 0 7.000000 215370688.000000 -37.000000 17323.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260765.47999954 2147584.16000366 920.15002441 1 1 0 7.000000 215370688.000000 -37.000000 16886.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260773.05999947 2147582.36000061 918.63000488 1 1 0 7.000000 215370688.000000 -37.000000 16908.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260773.85000038 2147581.48999786 867.28997803 1 1 0 7.000000 215370688.000000 -35.000000 17563.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260769.96999931 2147594.47000122 914.58001709 1 1 0 7.000000 215370688.000000 -36.000000 18022.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
260773.13999939 2147594.98000336 914.70001221 1 1 0 7.000000 215370688.000000 -36.000000 16121.000000 0.000000 0.000000 0.000000 0.999999 0.000978 0.000978
